lat,lon,x,y,cum_m,slope,in_psr,cum_h,illum
-87.8701,82.6577,64065.0,8255.0,0.0,10.025,0,0.0,0.283
-87.8536,82.6965,64565.0,8275.0,508.2843,6.3794,0,1.4119,0.2831
-87.837,82.7,65065.0,8335.0,1033.1371,7.6676,0,2.8698,0.2652
-87.8205,82.7293,65565.0,8365.0,1545.5635,4.0447,0,4.2932,0.2389
-87.8033,82.6046,66065.0,8575.0,2132.5483,11.3957,0,5.9237,0.1975
-87.7856,82.3887,66565.0,8895.0,2765.0967,23.2733,0,7.6808,0.1665
-87.7675,82.1176,67065.0,9285.0,3426.64,14.8826,0,9.5184,0.1237
-87.7494,81.8509,67565.0,9675.0,4088.1833,7.125,0,11.3561,0.0956
-87.7318,81.6873,68065.0,9945.0,4700.0209,12.6044,0,13.0556,0.0649
-87.7149,81.6407,68565.0,10075.0,5253.8687,8.9849,0,14.5941,0.0442
-87.6984,81.6679,69065.0,10115.0,5770.4372,19.4712,0,16.029,0.0194
-87.6819,81.7028,69565.0,10145.0,6291.1479,24.3596,1,17.8365,0.0036
-87.6657,81.7692,70065.0,10135.0,6795.29,26.5651,1,20.6373,0.0
-87.6494,81.8267,70565.0,10135.0,7295.29,10.025,1,23.4151,0.0
-87.633,81.8755,71065.0,10145.0,7799.4322,15.6161,1,26.2159,0.0
-87.6166,81.9159,71565.0,10165.0,8307.7164,22.4069,1,29.0397,0.0
-87.6002,81.9556,72065.0,10185.0,8816.0007,14.0362,1,31.8635,0.0
-87.5838,82.0026,72565.0,10195.0,9320.1429,5.8851,1,34.6643,0.0
-87.5675,82.0643,73065.0,10185.0,9824.285,8.0495,1,37.4651,0.0
-87.5512,82.1176,73565.0,10185.0,10324.285,1.4321,1,40.2428,0.0
-87.5349,82.1701,74065.0,10185.0,10824.285,2.8624,1,43.0206,0.0
-87.5186,82.222,74565.0,10185.0,11324.285,0.0,1,45.7984,0.0
-87.5021,82.2582,75065.0,10205.0,11840.8535,1.4321,1,48.6682,0.0
-87.4855,82.2641,75565.0,10265.0,12365.7063,1.4321,1,51.5841,0.0
-87.4682,82.1517,76065.0,10485.0,12956.8333,2.8624,1,54.8681,0.0
-87.4518,82.1876,76565.0,10505.0,13473.4019,4.0447,1,57.7379,0.0
-87.4356,82.2523,77065.0,10485.0,13981.6861,2.0249,1,60.5617,0.0
-87.4188,82.2291,77565.0,10585.0,14523.1075,2.0249,1,63.5696,0.0
-87.402,82.199,78065.0,10695.0,15068.671,25.6822,1,66.6005,0.0
-87.3871,82.0611,78485.0,10945.0,15674.6508,20.0018,1,69.9671,0.0
